title,url,source,date,language,state,district,search_term,full_text,relevance_score
Sansani: दिल्ली में कदम-कदम पर 'मौत के दरवाजे'! | Crime | Delhi News,https://www.abplive.com/tv-show/sansani/sansani-doors-of-death-at-every-step-in-delhi-crime-delhi-news-3087943,ABP News,2026-02-11T23:51:41+05:30,hi,Delhi,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"" OR ""भयंकर गर्मी"") Delhi","Sansani: दिल्ली में कदम-कदम पर 'मौत के दरवाजे'! | Crime | Delhi News
दिल्ली में कदम-कदम पर 'मौत के दरवाजे'! खूनी गड्ढे और नाले में दफ्न सिस्टम की तस्वीर जनकपुरी के बाद रोहिणी में खौफनाक हादसा एक हफ्ते में दो मौैत... जिम्मेदार कौन ? दिल्ली में कदम-कदम पर 'मौत के दरवाजे'! खूनी गड्ढे और नाले में दफ्न सिस्टम की तस्वीर जनकपुरी के बाद रोहिणी में खौफनाक हादसा एक हफ्ते में दो मौैत... जिम्मेदार कौन ?दिल्ली में कदम-कदम पर 'मौत के दरवाजे'! खूनी गड्ढे और नाले में दफ्न सिस्टम की तस्वीर जनकपुरी के बाद रोहिणी में खौफनाक हादसा एक हफ्ते में दो मौैत... जिम्मेदार कौन ?दिल्ली में कदम-कदम पर 'मौत के दरवाजे'! खूनी गड्ढे और नाले में दफ्न सिस्टम की तस्वीर जनकपुरी के बाद रोहिणी में खौफनाक हादसा एक हफ्ते में दो मौैत... जिम्मेदार कौन ?दिल्ली में कदम-कदम पर 'मौत के दरवाजे'! खूनी गड्ढे और नाले में दफ्न सिस्टम की तस्वीर जनकपुरी के बाद रोहिणी में खौफनाक हादसा एक हफ्ते में दो मौैत... जिम्मेदार कौन ?",0.0
दिल्ली पहुंचे केरल के सभी स्थानीय निकायों के निर्वाचित प्रतिनिधि,https://www.livehindustan.com/ncr/new-delhi/story-bjp-calls-kerala-representatives-to-delhi-for-governance-training-ahead-of-assembly-elections-201770833153232.html,Live Hindustan,2026-02-11T23:35:56+05:30,hi,Delhi,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"" OR ""भयंकर गर्मी"") Delhi",,0.0
"पेंगुइन के दफ्तर पहुंची दिल्ली पुलिस, नरवणे के अनपब्लिशड किताब विवाद पर जांच तेज",https://hindi.news18.com/news/haryana/gurgaon-mm-narvane-book-four-stars-of-destiny-case-delhi-police-penguin-india-gurugram-office-10174174.html,News18,2026-02-11T23:16:17+05:30,hi,Delhi,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"" OR ""भयंकर गर्मी"") Delhi","पेंगुइन के दफ्तर पहुंची दिल्ली पुलिस, नरवणे के अनपब्लिशड किताब विवाद पर जांच तेज
Written by:
Last Updated:
पूर्व थलसेना प्रमुख जनरल सेवानिवृत एमएम नरवणे को अनपब्लिशड पुस्तक के कथित लीक के मामले में दिल्ली पुलिस ने जांच तेज कर दी है. दिल्ली पुलिस की स्पेशल सेल ने प्रकाशन संस्था पेंगुइन इंडिया को नोटिस जारी कर कई अहम सवालों के जवाब मांगे हैं.
गुरुग्रामः पूर्व थलसेना प्रमुख जनरल सेवानिवृत एमएम नरवणे को अनपब्लिशड पुस्तक के कथित लीक के मामले में दिल्ली पुलिस ने जांच तेज कर दी है. दिल्ली पुलिस की स्पेशल सेल ने प्रकाशन संस्था पेंगुइन इंडिया को नोटिस जारी कर कई अहम सवालों के जवाब मांगे हैं. यही नहीं जांच टीम ने कंपनी के संबंधित अधिकारियों को पूछताछ में शामिल होने के लिए कहा है. लाइव हिन्दुस्तान की रिपोर्ट के मुताबिक स्पेशल सेल की एक टीम बुधवार को गुरुग्राम में पेंगुइन इंडिया के दफ्तर पहुंची थी.
एम एम नरवणे ने जारी किया बयान
पूर्व थलसेना प्रमुख जनरल एम एम नरवणे ने मंगलवार को सोशल मीडिया मंच ‘एक्स’ पर अपने संस्मरण ‘फोर स्टार्स ऑफ डेस्टिनी’ के प्रकाशक द्वारा जारी एक बयान साझा किया, जिसमें कहा गया है कि ‘‘मुद्रित या डिजिटल रूप में पुस्तक की कोई भी प्रति न तो प्रकाशित, न ही वितरित, न ही बेची’’ गई है, और न ही किसी अन्य तरीके से जनता के लिए उपलब्ध कराई गई है. नरवणे ने लिखा, ‘‘पुस्तक की स्थिति यही है.’ पूर्व थलसेना प्रमुख ने पेंगुइन इंडिया द्वारा सोमवार रात जारी बयान को सोशल मीडिया मंच पर साझा किया.
पूर्व थलसेना प्रमुख जनरल एम एम नरवणे ने मंगलवार को सोशल मीडिया मंच ‘एक्स’ पर अपने संस्मरण ‘फोर स्टार्स ऑफ डेस्टिनी’ के प्रकाशक द्वारा जारी एक बयान साझा किया, जिसमें कहा गया है कि ‘‘मुद्रित या डिजिटल रूप में पुस्तक की कोई भी प्रति न तो प्रकाशित, न ही वितरित, न ही बेची’’ गई है, और न ही किसी अन्य तरीके से जनता के लिए उपलब्ध कराई गई है. नरवणे ने लिखा, ‘‘पुस्तक की स्थिति यही है.’ पूर्व थलसेना प्रमुख ने पेंगुइन इंडिया द्वारा सोमवार रात जारी बयान को सोशल मीडिया मंच पर साझा किया.
दिल्ली पुलिस ने मांगा स्पष्टीकरण
दिल्ली पुलिस ने पूर्व सेना प्रमुख जनरल एम एम नरवणे की अप्रकाशित पुस्तक के कथित प्रसार की जांच में आपराधिक साजिश के आरोप जोड़े हैं और इसके प्रकाशक पेंगुइन रैंडम हाउस इंडिया को नोटिस जारी कर स्पष्टीकरण मांगा है. एक अधिकारी ने बुधवार को यह जानकारी दी. दिल्ली पुलिस का विशेष प्रकोष्ठ मामले की जांच कर रहा है. यह मामला पुस्तक के प्रकाशन से पहले सोशल मीडिया और अन्य ऑनलाइन प्लेटफॉर्म पर पुस्तक के पीडीएफ संस्करण के कथित अनधिकृत प्रसार से संबंधित है.
दिल्ली पुलिस ने पूर्व सेना प्रमुख जनरल एम एम नरवणे की अप्रकाशित पुस्तक के कथित प्रसार की जांच में आपराधिक साजिश के आरोप जोड़े हैं और इसके प्रकाशक पेंगुइन रैंडम हाउस इंडिया को नोटिस जारी कर स्पष्टीकरण मांगा है. एक अधिकारी ने बुधवार को यह जानकारी दी. दिल्ली पुलिस का विशेष प्रकोष्ठ मामले की जांच कर रहा है. यह मामला पुस्तक के प्रकाशन से पहले सोशल मीडिया और अन्य ऑनलाइन प्लेटफॉर्म पर पुस्तक के पीडीएफ संस्करण के कथित अनधिकृत प्रसार से संबंधित है.
पेंगुइन को जारी किया गया नोटिस
पुलिस के एक वरिष्ठ अधिकारी ने बताया कि जांच अब यह पता लगाने पर केंद्रित है कि क्या पांडुलिपि के कथित लीक और उसके बाद डिजिटल प्लेटफॉर्म पर प्रसार के पीछे कोई आपराधिक साजिश थी. अधिकारी ने कहा, ‘‘दिल्ली पुलिस के विशेष प्रकोष्ठ ने पेंगुइन रैंडम हाउस इंडिया को एक नोटिस जारी किया है. नोटिस के माध्यम से कई सवाल पूछे गए हैं और विस्तृत प्रतिक्रिया मांगी गई है, जिसमें यह भी शामिल है कि अप्रकाशित पांडुलिपि कथित तौर पर कैसे प्रसारित हुई.’
पुलिस के एक वरिष्ठ अधिकारी ने बताया कि जांच अब यह पता लगाने पर केंद्रित है कि क्या पांडुलिपि के कथित लीक और उसके बाद डिजिटल प्लेटफॉर्म पर प्रसार के पीछे कोई आपराधिक साजिश थी. अधिकारी ने कहा, ‘‘दिल्ली पुलिस के विशेष प्रकोष्ठ ने पेंगुइन रैंडम हाउस इंडिया को एक नोटिस जारी किया है. नोटिस के माध्यम से कई सवाल पूछे गए हैं और विस्तृत प्रतिक्रिया मांगी गई है, जिसमें यह भी शामिल है कि अप्रकाशित पांडुलिपि कथित तौर पर कैसे प्रसारित हुई.’
About the Author
Prashant Rai
प्रशान्त राय मूल रूप से उत्तर प्रदेश के गाजीपुर जिले के रहने वाले हैं. प्रशांत राय पत्रकारिता में पिछले 8 साल से एक्टिव हैं. अलग-अलग संस्थानों में काम करते हुए प्रशांत राय फिलहाल न्यूज18 हिंदी के साथ पिछले तीन ...और पढ़ें
और पढ़ें",0.0
"नरवणे की किताब को लेकर घमासान जारी, दिल्ली पुलिस ने पेंग्विन रैंडम हाउस को भेजा नोटिस, FIR में आपराधिक साजिश की धारा जुड़ी",https://hindi.webdunia.com/national-hindi-news/controversy-continues-over-naravanes-book-delhi-police-sends-notice-to-penguin-random-house-126021100065_1.html,Webdunia Hindi,2026-02-11T23:14:00+05:30,hi,Delhi,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"" OR ""भयंकर गर्मी"") Delhi","Written By
वेबदुनिया न्यूज डेस्क
Last Updated :नई दिल्ली , बुधवार, 11 फ़रवरी 2026 (23:52 IST)
- Naravane Book Row : नरवणे की किताब पर छिड़ी जंग, संसद से सोशल तक घमासान, कौन बोल रहा है झूठ
- पुरानी पोस्ट के बाद नरवणे की पुस्तक पर बढ़ा बवाल, राहुल गांधी के दावे ने बढ़ाई सरकार की टेंशन, जानें क्या है पूरा सच
- राहुल गांधी ने पेंगुइन पर लगाया झूठ का आरोप, बोले— नरवणे की किताब अमेजन पर मौजूद
- नरवणे की किताब को लेकर दिल्ली पुलिस ने की FIR, क्या राहुल गांधी पर भी कसेगा शिकंजा?
- दिल्ली में फिर स्कूलों को बम धमकी: कई स्कूल खाली, जांच में निकली फर्जी सूचना
पूर्व सेना प्रमुख जनरल एमएम नरवणे के संस्मरण 'फोर स्टार्स ऑफ डेस्टिनी' के प्रकाशन से पहले कथित तौर पर लीक होने के मामले में दिल्ली पुलिस की स्पेशल सेल ने कड़ा रुख अपनाया है। पुलिस ने प्रकाशक 'पेंग्विन रैंडम हाउस इंडिया' को नोटिस जारी कर जांच में शामिल होने के लिए कहा है। मीडिया खबरों के मुताबिक स्पेशल सेल की एक टीम बुधवार को गुरुग्राम में पेंगुइन इंडिया के दफ्तर पहुंची थी।
स्पेशल सेल ने इस नोटिस के जरिए प्रकाशन गृह से कई सवाल पूछे हैं और उनके प्रतिनिधियों को जांच में शामिल होने का निर्देश दिया है। बता दें कि किताब के प्रेस में जाने से पहले ही इसके कुछ अंश लीक होने के आरोप में पुलिस ने पहले ही मामला दर्ज कर लिया था। यह विवाद मुख्य रूप से किताब में 2020 की गलवान घाटी झड़प के घटनाक्रमों के वर्णन को लेकर उपजा है।
दिल्ली पुलिस ने इस मामले में दर्ज FIR में अब 'आपराधिक साजिश' (Criminal Conspiracy) से जुड़ी धाराएं भी जोड़ दी हैं। इसके साथ ही जांच का दायरा काफी बढ़ गया है। स्पेशल सेल अब डिजिटल साक्ष्यों और इस कथित लीक से जुड़े संदिग्ध व्यक्तियों की भूमिका की गहराई से जांच कर रही है।
विवाद बढ़ता देख पेंग्विन रैंडम हाउस ने मंगलवार को एक स्पष्टीकरण जारी किया। प्रकाशक ने कहा कि किसी किताब की घोषणा करना या उसे 'प्री-ऑर्डर' के लिए उपलब्ध कराने का मतलब यह नहीं है कि किताब प्रकाशित हो चुकी है। Edited by : Sudhir Sharma",0.0
"Iit Delhi:एआई पर आईआईटी दिल्ली में राउंडटेबल का हुआ आयोजन, शिक्षा मंत्री ने एडटेक स्टार्टअप्स के साथ की चर्चा",https://www.amarujala.com/education/dharmendra-pradhan-chairs-ai-roundtable-at-iit-delhi-with-edtech-startups-focus-on-nep-2020-and-future-learn-2026-02-11,अमर उजाला,2026-02-11T22:09:56+05:30,hi,Delhi,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"" OR ""भयंकर गर्मी"") Delhi","IIT Delhi: एआई पर आईआईटी दिल्ली में राउंडटेबल का हुआ आयोजन, शिक्षा मंत्री ने एडटेक स्टार्टअप्स के साथ की चर्चा
IIT Delhi: केंद्रीय शिक्षा मंत्री धर्मेंद्र प्रधान ने आईआईटी दिल्ली में एआई राउंडटेबल की अध्यक्षता कर एडटेक स्टार्टअप्स के साथ शिक्षा में एआई के उपयोग पर चर्चा की। बैठक में NEP 2020 के तहत पर्सनलाइज्ड लर्निंग, स्किलिंग और जिम्मेदार एआई अपनाने पर जोर दिया गया, जो इंडिया एआई समिट की तैयारी का हिस्सा है।
विस्तार
IIT Delhi: केंद्रीय शिक्षा मंत्री धर्मेंद्र प्रधान ने बुधवार को आर्टिफिशियल इंटेलिजेंस (एआई) को लेकर एक अहम राउंडटेबल बैठक की अध्यक्षता की। यह बैठक भारतीय प्रौद्योगिकी संस्थान (IIT) दिल्ली में आयोजित की गई, जिसमें भारत के 10 नए दौर के एडटेक स्टार्टअप्स के संस्थापक, नीति-निर्माता, शिक्षाविद और टेक्नोलॉजी उद्यमी शामिल हुए।
चर्चा का मुख्य उद्देश्य यह समझना था कि राष्ट्रीय शिक्षा नीति (NEP) 2020 के लक्ष्यों के अनुरूप एआई की मदद से देश की शिक्षा व्यवस्था को कैसे मजबूत बनाया जा सकता है।
बैठक के दौरान शिक्षा मंत्री ने कहा कि तकनीक सशक्तिकरण और समावेशन का महत्वपूर्ण माध्यम है, जो अवसर और उम्मीद के बीच की दूरी को कम कर सकती है। उन्होंने जोर देकर कहा कि विकसित भारत 2047 के विजन को आगे बढ़ाने में एआई की भूमिका केंद्रीय रहेगी।
उनके अनुसार, शिक्षा में तकनीक के शुरुआती चरण का फोकस कंटेंट तक पहुंच बढ़ाने पर था, लेकिन अब अगला चरण सीखने के परिणामों को बेहतर बनाने पर केंद्रित होना चाहिए।
व्यक्तिगत और छात्र-केंद्रित लर्निंग पर जोर
प्रधान ने एआई आधारित पर्सनलाइज्ड और एडैप्टिव लर्निंग मॉडल्स की जरूरत पर बल दिया। उनका कहना था कि ऐसे मॉडल सस्ती, समान और बड़े पैमाने पर स्किलिंग सुनिश्चित करने में मदद करेंगे। बैठक में यह भी चर्चा हुई कि एआई के जरिए छात्रों की जरूरतों के अनुसार पढ़ाई को अधिक प्रभावी बनाया जा सकता है, खासकर उन क्षेत्रों में जहां संसाधन सीमित हैं।
किन स्टार्टअप्स ने लिया हिस्सा?
राउंडटेबल में Arivihan, Fermi AI, Khare AI Classes, Seekho, Speak, SuperKalam, Supernova, Vedantu, ConveGenius और Virohan जैसे एडटेक स्टार्टअप्स शामिल हुए। इन कंपनियों ने K-12 शिक्षा, टेस्ट प्रिपरेशन, भाषा सीखने, अपस्किलिंग और स्किल एजुकेशन जैसे क्षेत्रों में अपने एआई-आधारित समाधान प्रस्तुत किए। खास बात यह रही कि कई स्टार्टअप्स ग्रामीण और वंचित इलाकों के छात्रों तक शिक्षा पहुंचाने पर काम कर रहे हैं।
नीति निर्माण में मदद करेगी चर्चा
शिक्षा मंत्रालय के एक वरिष्ठ अधिकारी के मुताबिक, इस राउंडटेबल से मिले सुझाव आगामी इंडिया एआई इम्पैक्ट समिट की नीतिगत चर्चाओं में शामिल किए जाएंगे। इसमें जिम्मेदार एआई उपयोग, सुरक्षा उपाय और विभिन्न सेक्टरों में इसके विस्तार की संभावनाओं पर फोकस रहेगा।
12 फरवरी से भारत बोधन एआई कॉन्क्लेव
इस बैठक के बाद 12 से 13 फरवरी 2026 को नई दिल्ली के भारत मंडपम में ‘भारत बोधन एआई कॉन्क्लेव’ आयोजित होगा, जिसमें केंद्र और राज्यों के नीति-निर्माता, शोधकर्ता और उद्योग विशेषज्ञ एआई की रणनीतिक भूमिका पर चर्चा करेंगे।
इसके बाद 16 से 20 फरवरी तक राष्ट्रीय राजधानी में होने वाले इंडिया एआई समिट में वैश्विक टेक कंपनियों के बड़े नामों के शामिल होने की उम्मीद है, जिनमें NVIDIA के जेनसेन हुआंग, OpenAI के सैम ऑल्टमैन, गूगल के सुंदर पिचाई, एंथ्रोपिक के डारियो अमोदेई और क्वालकॉम के क्रिस्टियानो एमोन जैसे दिग्गज शामिल हो सकते हैं।",0.0
"विपक्ष के नोटिस में कमियां, बिरला ने सुधार करा कार्यवाही का निर्देश दिया",https://www.livehindustan.com/ncr/new-delhi/story-opposition-notice-to-remove-lok-sabha-speaker-om-birla-found-defective-201770827794255.html,Live Hindustan,2026-02-11T22:06:36+05:30,hi,Delhi,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"" OR ""भयंकर गर्मी"") Delhi",,0.0
इटली और पोलैंड ट्रंप के 'बोर्ड ऑफ पीस' में शामिल नहीं होंगे,https://www.livehindustan.com/ncr/new-delhi/story-italy-and-poland-reject-trump-s-board-of-peace-amid-constitutional-concerns-201770826220912.html,Live Hindustan,2026-02-11T21:40:23+05:30,hi,Delhi,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"" OR ""भयंकर गर्मी"") Delhi",,0.0
केरल: 'वायनाड में जनता को गुमराह कर रही कांग्रेस',https://www.livehindustan.com/ncr/new-delhi/story-cpi-m-accuses-congress-of-misleading-public-on-wayanad-landslide-rehabilitation-201770826218692.html,Live Hindustan,2026-02-11T21:40:21+05:30,hi,Delhi,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"" OR ""भयंकर गर्मी"") Delhi",,0.0
"जिसका डर था वही हुआ…जनरल नरवणे की ‘किताब लीक’ मामले में बड़ा एक्शन, पेंगुइन के दफ्तर तक पहुंची दिल्ली पुलिस",https://navbharatlive.com/delhi/general-naravane-leaked-book-row-police-action-intensifies-penguin-office-under-probe-1562394.html,Navabharat,2026-02-11T20:42:22+05:30,hi,Delhi,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"" OR ""भयंकर गर्मी"") Delhi","- Hindi News »
- Delhi »
- General Naravane Leaked Book Row Police Action Intensifies Penguin Office Under Probe
जिसका डर था वही हुआ…जनरल नरवणे की ‘किताब लीक’ मामले में बड़ा एक्शन, पेंगुइन के दफ्तर तक पहुंची दिल्ली पुलिस
Delhi Police: दिल्ली पुलिस ने पूर्व आर्मी चीफ जनरल एमएम नरवणे की एक अनपब्लिश्ड किताब के कथित लीक मामले में अपनी जांच तेज कर दी है और पेंगुइन इंडिया को नोटिस जारी कर कई अहम सवालों के जवाब मांगे हैं।
- Written By: अभिषेक सिंह
General MM Naravane Book Controversy: दिल्ली पुलिस ने पूर्व आर्मी चीफ जनरल एमएम नरवणे की एक अनपब्लिश्ड किताब के कथित लीक मामले में अपनी जांच तेज कर दी है। दिल्ली पुलिस स्पेशल सेल ने पब्लिशिंग हाउस पेंगुइन इंडिया को नोटिस जारी कर कई अहम सवालों के जवाब मांगे हैं।
इसके अलावा, जांच टीम ने कंपनी के संबंधित अधिकारियों को भी जांच में शामिल होने के लिए कहा है। स्पेशल सेल की एक टीम बुधवार को गुरुग्राम में पेंगुइन इंडिया के ऑफिस गई। पुलिस सूत्रों के मुताबिक, जांच के तहत स्पेशल सेल की एक टीम गुरुग्राम में DLF इनफिनिटी मॉल में पेंगुइन इंडिया के ऑफिस गई। टीम वहां करीब दो घंटे तक रही।
पेंगुइन दफ्तर में पुलिस ने क्या किया?
सूत्रों ने बताया कि दिल्ली पुलिस स्पेशल सेल ने जांच के दौरान कुछ जरूरी डॉक्यूमेंट्स भी जब्त किए हैं। जांच टीम अब इन डॉक्यूमेंट्स की जांच कर रही है। स्पेशल सेल यह पता लगाने की कोशिश कर रही है कि किताब का प्री-प्रिंट या अनपब्लिश्ड मटीरियल किस लेवल पर लीक हुआ।
सम्बंधित ख़बरें
क्या पता लगाने में जुटी दिल्ली पुलिस?
दिल्ली पुलिस यह भी जानना चाहती है कि प्री-प्रिंट कॉपी तक किसका एक्सेस था। दिल्ली पुलिस यह भी जांच कर रही है कि क्या इसमें कोई अंदरूनी साजिश शामिल थी। इस सिलसिले में दिल्ली पुलिस ने जो केस दर्ज किया है, उसमें क्रिमिनल कॉन्सपिरेसी के चार्ज भी जोड़े गए हैं। इस केस से जुड़ी FIR में इंडियन पीनल कोड का सेक्शन 120B (क्रिमिनल कॉन्सपिरेसी) भी जोड़ा गया है।
किताब लीक ने खड़े किए कई सवाल
इस केस ने डिफेंस एस्टैब्लिशमेंट से जुड़ी सेंसिटिव जानकारी की सिक्योरिटी पर सवाल खड़े कर दिए हैं। हालांकि, अभी यह साफ नहीं है कि लीक हुए मटीरियल में किस तरह की जानकारी शामिल थी। क्या इसमें नेशनल सिक्योरिटी से जुड़ा कोई सेंसिटिव पहलू है?
यह भी पढ़ें: कैसे लीक हुई जनरल नरवणे की किताब? पूर्व सेनाध्यक्ष ने पहली बार तोड़ी चुप्पी, अब थमेगा या और बढ़ेगा बवाल?
मामले से जुड़े पुलिस अधिकारियों ने कहा है कि मामले की जांच जारी है और संकेत दिया है कि अगर जरूरत पड़ी तो पब्लिकेशन से जुड़े दूसरे लोगों को भी पूछताछ के लिए बुलाया जा सकता है। ऐसे में देखना दिलचस्प होगा कि इस मामले में आगे और क्या कुछ होता है।",0.0
अमेरिका के साथ समझौते पर राहुल गांधी के आरोपों को भाजपा ने किया खारिज,https://www.livehindustan.com/ncr/new-delhi/story-bjp-rejects-rahul-gandhi-s-allegations-on-us-trade-agreement-201770822425735.html,Live Hindustan,2026-02-11T20:37:08+05:30,hi,Delhi,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"" OR ""भयंकर गर्मी"") Delhi",,0.0
