title,url,source,date,language,state,district,search_term,full_text,relevance_score
"जाति जन्म से तय होती है, धर्म परिवर्तन या अंतरजातीय विवाह से नहीं बदलती; हाई कोर्ट का अहम आदेश",https://www.livehindustan.com/uttar-pradesh/caste-is-determined-by-birth-does-not-change-through-religious-conversion-or-inter-caste-marriage-allahabad-high-court-201770832209796.html,Live Hindustan,2026-02-11T23:38:21+05:30,hi,Uttar Pradesh,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"") Uttar Pradesh",,0.0
"यूपी के इन जिले में बनेगा स्पोर्ट्स कॉलेज, युवाओं को योगी सरकार की सौगात",https://www.livehindustan.com/uttar-pradesh/sports-colleges-will-be-built-in-these-districts-of-up-a-gift-from-the-yogi-government-to-the-youth-201770830189588.html,Live Hindustan,2026-02-11T23:00:29+05:30,hi,Uttar Pradesh,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"") Uttar Pradesh",,0.0
"यूपी में भाजपा नेता के बेटे ने व्यापारी पर की ताबड़तोड़ फायरिंग, दो दिन में दूसरी बार हमला",https://www.livehindustan.com/uttar-pradesh/bjp-leader-son-opens-fire-on-businessman-up-second-attack-two-days-201770829824499.html,Live Hindustan,2026-02-11T22:46:44+05:30,hi,Uttar Pradesh,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"") Uttar Pradesh",,0.0
"मैं ठाकुर हूं...बोल वायरल हुईं आस्था सिंह थाने पहुंची, ऋतु त्रिपाठी ने यूं दिया जवाब",https://www.livehindustan.com/uttar-pradesh/main-thakur-hoon-viral-bank-employee-astha-singh-reached-police-station-ritu-tripathi-complain-on-igrs-201770827031525.html,Live Hindustan,2026-02-11T22:17:00+05:30,hi,Uttar Pradesh,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"") Uttar Pradesh",,0.0
"दामाद के साथ भागने वाली सास अब बहनोई संग फरार, 10 महीने बाद फिर सुर्खियों में आई महिला",https://www.livehindustan.com/uttar-pradesh/saas-who-eloped-with-her-damad-now-absconding-with-her-jija-there-talk-woman-returning-to-her-children-201770826218267.html,Live Hindustan,2026-02-11T21:47:22+05:30,hi,Uttar Pradesh,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"") Uttar Pradesh",,0.0
"तेजस, शताब्दी समेत कई ट्रेनों को लखनऊ में अब इस स्टेशन से चलाने की तैयारी, जानिए वजह",https://www.livehindustan.com/uttar-pradesh/many-trains-including-tejas-and-shatabdi-will-now-be-ready-to-run-from-this-station-in-lucknow-201770825231983.html,Live Hindustan,2026-02-11T21:32:59+05:30,hi,Uttar Pradesh,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"") Uttar Pradesh",,0.0
"यूपी के सरकारी कर्मचारियों को अब इसी सिस्टम से मिलेंगी छुट्टियां, सभी विभागाध्यक्षों को आदेश जारी",https://www.livehindustan.com/uttar-pradesh/up-government-employees-will-now-get-leave-only-through-manav-sampada-portal-orders-issued-to-all-department-heads-201770822640379.html,Live Hindustan,2026-02-11T21:00:37+05:30,hi,Uttar Pradesh,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"") Uttar Pradesh",,0.0
"त्योहरों पर रंग में भंग डालने वालों की खैर नहीं, सीएम योगी ने मीटिंग में अफसरों को दे दिए निर्देश",https://www.livehindustan.com/uttar-pradesh/those-who-spoil-festive-spirit-will-not-be-spared-cm-yogi-issued-instructions-to-officers-meeting-201770823177991.html,Live Hindustan,2026-02-11T21:00:03+05:30,hi,Uttar Pradesh,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"") Uttar Pradesh",,0.0
"ब्रिटेन का मौलाना, यूपी के 'स्कूल' से ले रहा था सैलरी, आया ED के रडार पर, खुले राज",https://hindi.news18.com/news/uttar-pradesh/lucknow-ed-raid-maulana-shamshul-huda-khan-azamgarh-kushinagar-uk-citizenship-10173799.html,News18,2026-02-11T20:35:24+05:30,hi,Uttar Pradesh,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"") Uttar Pradesh","ब्रिटेन का मौलाना, यूपी के 'स्कूल' से ले रहा था सैलरी, आया ED के रडार पर, खुले राज
Last Updated:
जांच एजेंसी के मुताबिक, विदेशी नागरिकता लेने के बावजूद उन्होंने वर्ष 2017 तक वेतन लिया और सेवानिवृत्ति के बाद वर्ष 2023 तक पेंशन लाभ भी प्राप्त करते रहे. आरोप है कि उन्होंने अपनी विदेशी नागरिकता को छिपाया, राष्ट्रीयता को लेकर गलत जानकारी दी.
लखनऊः केंद्रीय जांच एजेंसी ईडी यानी प्रवर्तन निदेशालय (ED) लखनऊ ने 11 फरवरी 2026 को मनी लॉन्ड्रिंग रोकथाम अधिनियम (PMLA) के तहत मौलाना शम्सुल हुडा खान और अन्य के खिलाफ कार्रवाई करते हुए दो ठिकानों पर तलाशी अभियान चलाया. ये दोनों आवासीय परिसर उत्तर प्रदेश के संत कबीर नगर और आजमगढ़ में स्थित बताए गए हैं. ईडी ने जांच की शुरुआत उत्तर प्रदेश पुलिस द्वारा दर्ज तीन एफआईआर के आधार पर की है. इन एफआईआर में धोखाधड़ी, जालसाजी और आपराधिक साजिश से जुड़े आरोप लगाए गए हैं. आरोप है कि शम्सुल हुडा खान वर्ष 1984 में एक मदरसे में प्राथमिक शिक्षक के रूप में नियुक्त हुए थे और बाद में वर्ष 2013 में उन्होंने ब्रिटेन (UK) की नागरिकता हासिल कर ली.
विदेशी नागरिकता को मौलाना ने छिपाया
जांच एजेंसी के मुताबिक, विदेशी नागरिकता लेने के बावजूद उन्होंने वर्ष 2017 तक वेतन लिया और सेवानिवृत्ति के बाद वर्ष 2023 तक पेंशन लाभ भी प्राप्त करते रहे. आरोप है कि उन्होंने अपनी विदेशी नागरिकता को छिपाया, राष्ट्रीयता को लेकर गलत जानकारी दी और बिना अधिकार सरकारी वेतन व सेवानिवृत्ति लाभ प्राप्त किए. ईडी के अनुसार, आरोपियों ने अवैध रूप से अचल संपत्तियां अर्जित कीं और एनजीओ के माध्यम से धनराशि को कथित रूप से दान के नाम पर इधर-उधर किया.
जांच एजेंसी के मुताबिक, विदेशी नागरिकता लेने के बावजूद उन्होंने वर्ष 2017 तक वेतन लिया और सेवानिवृत्ति के बाद वर्ष 2023 तक पेंशन लाभ भी प्राप्त करते रहे. आरोप है कि उन्होंने अपनी विदेशी नागरिकता को छिपाया, राष्ट्रीयता को लेकर गलत जानकारी दी और बिना अधिकार सरकारी वेतन व सेवानिवृत्ति लाभ प्राप्त किए. ईडी के अनुसार, आरोपियों ने अवैध रूप से अचल संपत्तियां अर्जित कीं और एनजीओ के माध्यम से धनराशि को कथित रूप से दान के नाम पर इधर-उधर किया.
क्या है ईडी का दावा
आरोप है कि यह धन मदरसों के निर्माण और संपत्तियों की खरीद में लगाया गया. जांच में सामने आया है कि शम्सुल हुडा खान और उनके नियंत्रण वाले संस्थाओं रज़ा फाउंडेशन और कुलियातुल बनातिर रज़ाबिया एजुकेशनल एंड वेलफेयर सोसाइटी के बैंक खातों में 2007 से 2025 के बीच 5 करोड़ रुपये से अधिक की राशि प्राप्त हुई. यह राशि सेंट्रल बैंक ऑफ इंडिया, इंडियन बैंक, पंजाब नेशनल बैंक, बैंक ऑफ बड़ौदा, एचडीएफसी बैंक और स्टेट बैंक ऑफ इंडिया में संचालित खातों में जमा हुई. वित्तीय जांच में भारतीय नागरिकता समाप्त होने के बावजूद वेतन और पेंशन के अवैध भुगतान की पुष्टि होने का दावा किया गया है.
आरोप है कि यह धन मदरसों के निर्माण और संपत्तियों की खरीद में लगाया गया. जांच में सामने आया है कि शम्सुल हुडा खान और उनके नियंत्रण वाले संस्थाओं रज़ा फाउंडेशन और कुलियातुल बनातिर रज़ाबिया एजुकेशनल एंड वेलफेयर सोसाइटी के बैंक खातों में 2007 से 2025 के बीच 5 करोड़ रुपये से अधिक की राशि प्राप्त हुई. यह राशि सेंट्रल बैंक ऑफ इंडिया, इंडियन बैंक, पंजाब नेशनल बैंक, बैंक ऑफ बड़ौदा, एचडीएफसी बैंक और स्टेट बैंक ऑफ इंडिया में संचालित खातों में जमा हुई. वित्तीय जांच में भारतीय नागरिकता समाप्त होने के बावजूद वेतन और पेंशन के अवैध भुगतान की पुष्टि होने का दावा किया गया है.
17 अचल संपत्तियां जब्त
तलाशी अभियान के दौरान 17 अचल संपत्तियों से संबंधित दस्तावेज और अन्य आपत्तिजनक रिकॉर्ड जब्त किए गए हैं. इन संपत्तियों का घोषित खरीद मूल्य लगभग 3 करोड़ रुपये बताया गया है, जबकि वर्तमान बाजार मूल्य करीब 20 करोड़ रुपये आंका गया है. जब्त दस्तावेजों की विस्तृत जांच की जा रही है ताकि कथित अपराध से अर्जित आय (Proceeds of Crime) की वास्तविक मात्रा का पता लगाया जा सके. हालांकि मामले में आगे की जांच जारी है.
तलाशी अभियान के दौरान 17 अचल संपत्तियों से संबंधित दस्तावेज और अन्य आपत्तिजनक रिकॉर्ड जब्त किए गए हैं. इन संपत्तियों का घोषित खरीद मूल्य लगभग 3 करोड़ रुपये बताया गया है, जबकि वर्तमान बाजार मूल्य करीब 20 करोड़ रुपये आंका गया है. जब्त दस्तावेजों की विस्तृत जांच की जा रही है ताकि कथित अपराध से अर्जित आय (Proceeds of Crime) की वास्तविक मात्रा का पता लगाया जा सके. हालांकि मामले में आगे की जांच जारी है.
Advertisement
दूसरे देश की ली नागरिकता फिर भी लेता रहा वेतन
साल 2013 में उन्होंने यूनाइटेड किंगडम (यूके) की नागरिकता हासिल कर ली. इसके बावजूद वे वर्ष 2017 तक वेतन लेते रहे. इतना ही नहीं, सेवानिवृत्ति के बाद भी साल 2023 तक पेंशन भी लेते रहे. जांच में यह भी सामने आया है कि वर्ष 2013 में यूके की नागरिकता लेने के बाद भी उन्होंने कथित रूप से साल 2017 के विधानसभा चुनाव में मतदान किया. इस पूरे मामले में समसुल हुदा खान, उनकी पत्नी, बेटे और बहू के खिलाफ तीन अलग-अलग एफआईआर दर्ज की गई हैं.
साल 2013 में उन्होंने यूनाइटेड किंगडम (यूके) की नागरिकता हासिल कर ली. इसके बावजूद वे वर्ष 2017 तक वेतन लेते रहे. इतना ही नहीं, सेवानिवृत्ति के बाद भी साल 2023 तक पेंशन भी लेते रहे. जांच में यह भी सामने आया है कि वर्ष 2013 में यूके की नागरिकता लेने के बाद भी उन्होंने कथित रूप से साल 2017 के विधानसभा चुनाव में मतदान किया. इस पूरे मामले में समसुल हुदा खान, उनकी पत्नी, बेटे और बहू के खिलाफ तीन अलग-अलग एफआईआर दर्ज की गई हैं.
20 करोड़ रुपये की बनाई संपत्ति
जांच एजेंसियां वित्तीय अनियमितताओं, सरकारी धन के दुरुपयोग और अन्य संभावित अपराधों की गहराई से जांच कर रही हैं. वित्तीय जांच में खुलासा हुआ है कि लगभग 5.5 करोड़ रुपये चार बैंक खातों में आए. ये खाते समसुल हुदा खान, उनकी पत्नी, बेटे, बहू और उनसे जुड़े एनजीओ ‘रजा फाउंडेशन’ के नाम पर बताए जा रहे हैं. जांच एजेंसियां इन लेन-देन के सोर्स और उपयोग की पड़ताल कर रही हैं. जांच में पिछले 5 से 7 सालों के दौरान कमाई की गई 17 संपत्तियों की जानकारी भी सामने आई है. इन संपत्तियों की अनुमानित कीमत 20 करोड़ रुपये से अधिक है. संपत्तियों के दस्तावेजों और फंडिंग सोर्स की जांच की जा रही है, ताकि यह पता लगाया जा सके कि इनकी खरीद में कथित अवैध धन का इस्तेमाल तो नहीं हुआ.
जांच एजेंसियां वित्तीय अनियमितताओं, सरकारी धन के दुरुपयोग और अन्य संभावित अपराधों की गहराई से जांच कर रही हैं. वित्तीय जांच में खुलासा हुआ है कि लगभग 5.5 करोड़ रुपये चार बैंक खातों में आए. ये खाते समसुल हुदा खान, उनकी पत्नी, बेटे, बहू और उनसे जुड़े एनजीओ ‘रजा फाउंडेशन’ के नाम पर बताए जा रहे हैं. जांच एजेंसियां इन लेन-देन के सोर्स और उपयोग की पड़ताल कर रही हैं. जांच में पिछले 5 से 7 सालों के दौरान कमाई की गई 17 संपत्तियों की जानकारी भी सामने आई है. इन संपत्तियों की अनुमानित कीमत 20 करोड़ रुपये से अधिक है. संपत्तियों के दस्तावेजों और फंडिंग सोर्स की जांच की जा रही है, ताकि यह पता लगाया जा सके कि इनकी खरीद में कथित अवैध धन का इस्तेमाल तो नहीं हुआ.
किस वजह से मौलाना के ठिकानों पर हुई रेड
जांच को आगे बढ़ाते हुए ईडी ने संत कबीर नगर जिले में चार अलग-अलग परिसरों पर सर्च ऑपरेशन चलाया गया. छापेमारी के दौरान महत्वपूर्ण दस्तावेज, बैंक रिकॉर्ड और अन्य सबूत जुटाए गए हैं. यह मामला सरकारी सेवा में रहते हुए विदेशी नागरिकता प्राप्त करने, वेतन और पेंशन लेने, कथित अवैध वित्तीय लेन-देन और संपत्ति कमाने जैसे गंभीर आरोपों से जुड़ा है. जांच एजेंसियां अब बैंक खातों, संपत्तियों और मतदान संबंधी रिकॉर्ड की गहन पड़ताल कर रही हैं. बेटा फरार है ED के मुताबिक.
जांच को आगे बढ़ाते हुए ईडी ने संत कबीर नगर जिले में चार अलग-अलग परिसरों पर सर्च ऑपरेशन चलाया गया. छापेमारी के दौरान महत्वपूर्ण दस्तावेज, बैंक रिकॉर्ड और अन्य सबूत जुटाए गए हैं. यह मामला सरकारी सेवा में रहते हुए विदेशी नागरिकता प्राप्त करने, वेतन और पेंशन लेने, कथित अवैध वित्तीय लेन-देन और संपत्ति कमाने जैसे गंभीर आरोपों से जुड़ा है. जांच एजेंसियां अब बैंक खातों, संपत्तियों और मतदान संबंधी रिकॉर्ड की गहन पड़ताल कर रही हैं. बेटा फरार है ED के मुताबिक.
About the Author
Prashant Rai
प्रशान्त राय मूल रूप से उत्तर प्रदेश के गाजीपुर जिले के रहने वाले हैं. प्रशांत राय पत्रकारिता में पिछले 8 साल से एक्टिव हैं. अलग-अलग संस्थानों में काम करते हुए प्रशांत राय फिलहाल न्यूज18 हिंदी के साथ पिछले तीन ...और पढ़ें
Click here to add News18 as your preferred news source on Google.
न्यूज़18 को गूगल पर अपने पसंदीदा समाचार स्रोत के रूप में जोड़ने के लिए यहां क्लिक करें। उत्तर प्रदेश की ताजा खबरें पढ़ने के लिए क्लिक करें|
और पढ़ें",0.0
"यूपी पंचायत चुनाव से पहले गांवों के लिए भरपूर घोषणाएं, योगी के बजट में ग्रामीणों को क्या मिला?",https://www.livehindustan.com/uttar-pradesh/ahead-of-the-up-panchayat-elections-there-have-been-many-announcements-for-villages-what-did-get-in-yogi-budget-201770821374342.html,Live Hindustan,2026-02-11T20:35:08+05:30,hi,Uttar Pradesh,,"(लू OR ""लू चलना"" OR ""भीषण गर्मी"" OR ""प्रचंड गर्मी"" OR ""कड़ी धूप"" OR ""तेज धूप"" OR ""गर्म हवा"" OR ""उष्ण लहर"" OR ""ताप लहर"" OR ""हीट वेव"" OR ""झुलसाने वाली गर्मी"" OR ""तपती गर्मी"") Uttar Pradesh",,0.0
